작성자,평점,날짜,리뷰내용,정제리뷰,긍정확률,예측감성,평점감성
이재유,5,2026-05-30 21:03:04,공유합니다,공유합니다,0.5772028772322501,긍정,긍정
정지운,5,2026-05-30 20:56:45,사용하기 편리해서 좋아요 ~ ☆☆☆☆☆,사용하기 편리해서 좋아요  ,0.7451246355714127,긍정,긍정
조성관,5,2026-05-30 20:54:59,아주좋아요,아주좋아요,0.9319288955582572,긍정,긍정
kim 188.8,1,2026-05-30 20:40:53,앱 실행하면 상단에 대출광고 너무 많이 뜹니다. x표시 눌러도 계속 뜹니다. 길거리에서 명함 뿌리는 사채업자랑 뭐가 다릅니까?,앱 실행하면 상단에 대출광고 너무 많이 뜹니다 표시 눌러도 계속 뜹니다 길거리에서 명함 뿌리는 사채업자랑 뭐가 다릅니까,0.10797405904993367,부정,부정
김제,5,2026-05-30 20:19:49,좋아요,좋아요,0.9931559085974366,긍정,긍정
양경옥,5,2026-05-30 20:06:05,일주일 방문 미션할때 가끔은 정답을 맞혀도 정답이 인정 안되고 그럴때도 있는데 즐겁게 토스앱 이용 하고 있습니다,일주일 방문 미션할때 가끔은 정답을 맞혀도 정답이 인정 안되고 그럴때도 있는데 즐겁게 토스앱 이용 하고 있습니다,0.7920012603908153,긍정,긍정
정정숙,5,2026-05-30 19:57:52,이번주미션이안열려요,이번주미션이안열려요,0.5379723342541004,긍정,긍정
박용수,5,2026-05-30 19:20:25,토스가작동하지않내요빨리고쳐주세요,토스가작동하지않내요빨리고쳐주세요,0.46957902386335,부정,긍정
정태욱,4,2026-05-30 18:51:41,편리해요,편리해요,0.44579230199633696,부정,긍정
김홍선,1,2026-05-30 18:44:34,업데이트하라고 무한반복 열기를 눌렀는데도 계속 제자리. 서버를 안정화 시키고 실행시키시지요!,업데이트하라고 무한반복 열기를 눌렀는데도 계속 제자리 서버를 안정화 시키고 실행시키시지요,0.2176382290197764,부정,부정
elpis ep00,1,2026-05-30 18:34:26,환급해준다면서 준비서류 안내도없이 순서대로 결제하니까 마지막에 서류요구하네 이새키들이? 서류있었으면 종소세 경정청구했겠지. 장난까냐? 부동산없어져서 서류구하지도못하는데 염장지르네 돈많이벌어먹으세요. 엔화로 장난치더니 이제 환급으로 장난질이네,환급해준다면서 준비서류 안내도없이 순서대로 결제하니까 마지막에 서류요구하네 이새키들이 서류있었으면 종소세 경정청구했겠지 장난까냐 부동산없어져서 서류구하지도못하는데 염장지르네 돈많이벌어먹으세요 엔화로 장난치더니 이제 환급으로 장난질이네,0.07514413135899664,부정,부정
윤기은,5,2026-05-30 18:12:44,만보기 복권 다 100만원 10만원 기본이 10000원인데 저 3원 6원 8원 많이주면 10윈입니다 매일 10000키로 걸으면뭐합니까 너무합니다 사람 차별하나요 아님 저 무시하는겁니까,만보기 복권 다 만원 만원 기본이 원인데 저 원 원 원 많이주면 윈입니다 매일 키로 걸으면뭐합니까 너무합니다 사람 차별하나요 아님 저 무시하는겁니까,0.1947847202989523,부정,긍정
김현철 (부산캐슬),4,2026-05-30 17:56:48,유용하게 사용중입니다,유용하게 사용중입니다,0.368671445037024,부정,긍정
지나가는놉,1,2026-05-30 17:55:21,토스 측에선 돈독 올랐는지 어떻게든 환급금 수수료 때먹구 싶어서 알림 설정 전부 해제해도 거슬리게 배너 띄우고 욕나오게 만듭니다,토스 측에선 돈독 올랐는지 어떻게든 환급금 수수료 때먹구 싶어서 알림 설정 전부 해제해도 거슬리게 배너 띄우고 욕나오게 만듭니다,0.06730160831909497,부정,부정
윤기철,4,2026-05-30 17:48:46,공유해요.,공유해요,0.5716362955700031,긍정,긍정
강소라,1,2026-05-30 17:41:15,미션 클릭하면 업데이트 하라고만 뜨고 업데이트가 안됨,미션 클릭하면 업데이트 하라고만 뜨고 업데이트가 안됨,0.10886343704978359,부정,부정
김용흠,5,2026-05-30 17:30:11,조아요,조아요,0.9515643664803086,긍정,긍정
응알겠어,1,2026-05-30 17:28:18,5월 29일에 이번 주 미션이 '오늘의 포인트 미션'으로 바뀌었는데 언제부터 이용 가능하게 해주실건가요? 업데이트하라고는 하는데 이틀째 업데이트 하라고 플레이스토어 앱에서 나오지도 않네요? 포인트 얻지 말라는건가요? 그럴거면 차라리 이전 것으로 되돌려 놓으세요.,월 일에 이번 주 미션이 오늘의 포인트 미션으로 바뀌었는데 언제부터 이용 가능하게 해주실건가요 업데이트하라고는 하는데 이틀째 업데이트 하라고 플레이스토어 앱에서 나오지도 않네요 포인트 얻지 말라는건가요 그럴거면 차라리 이전 것으로 되돌려 놓으세요,0.060435548385163344,부정,부정
이정민,3,2026-05-30 17:10:54,수수료 먼저 받아가는게 말이 되냐 수수료 안내만 미리하고 정차 다 끝나면 요구해야지 먼 홈택스 비번까지 만들래 인증서 쓰면 되는걸 앱에서 만드는거니까 홈택스 정식 비번같지도 않음 환불은 금방 되는게 장점,수수료 먼저 받아가는게 말이 되냐 수수료 안내만 미리하고 정차 다 끝나면 요구해야지 먼 홈택스 비번까지 만들래 인증서 쓰면 되는걸 앱에서 만드는거니까 홈택스 정식 비번같지도 않음 환불은 금방 되는게 장점,0.08042945236208288,부정,중립
정연숙,5,2026-05-30 17:03:02,굿,굿,0.9694210783202586,긍정,긍정
신인철,2,2026-05-30 16:55:48,이번에 업데이트 했는데 이번 주 미션 들어가면 자꾸 업데이트 하라고 무한반복 뜨는데 해결 방법좀 알려 주세요,이번에 업데이트 했는데 이번 주 미션 들어가면 자꾸 업데이트 하라고 무한반복 뜨는데 해결 방법좀 알려 주세요,0.6296899095405427,긍정,부정
Sunny,4,2026-05-30 16:55:31,주로 사용하는 유용한 앱임!,주로 사용하는 유용한 앱임,0.2882794314560385,부정,긍정
한길종,5,2026-05-30 16:19:59,그냥저냥,그냥저냥,0.0672312357681513,부정,긍정
Nova Gazer,5,2026-05-30 15:53:47,은행앱중 가장 나은듯,은행앱중 가장 나은듯,0.5047369344745357,긍정,긍정
Amy Kim,1,2026-05-30 15:44:25,그 환급액 알림문자동의 계속 새로 생성하는거 너무 짜치지 않나요,그 환급액 알림문자동의 계속 새로 생성하는거 너무 짜치지 않나요,0.47911141701831383,부정,부정
김영선,2,2026-05-30 15:40:43,"오늘의 미션 안되네요 업데이트 떠서 했는데도 뭐 계속 업데이트 하래, 캐시 삭제 재부팅 후에도 무한 업데이트 팝업.....",오늘의 미션 안되네요 업데이트 떠서 했는데도 뭐 계속 업데이트 하래 캐시 삭제 재부팅 후에도 무한 업데이트 팝업,0.5020024970649554,긍정,부정
안희진,1,2026-05-30 15:36:46,증권. 팔로우 친구가 사고팔면 알람뜨는거 8시간전에 사고 팔았는데 이제 알람뜨면 머합니까? 일 똑바로 안하세요?,증권 팔로우 친구가 사고팔면 알람뜨는거 시간전에 사고 팔았는데 이제 알람뜨면 머합니까 일 똑바로 안하세요,0.21550057429393465,부정,부정
강호은,1,2026-05-30 15:19:29,업데이트 했는데 이번주미션 되지도 않고..,업데이트 했는데 이번주미션 되지도 않고,0.4234517594765505,부정,부정
김정태,1,2026-05-30 15:10:07,이번 업뎃하고 하고부터 이번주 미션 창이 열리질않네요! 클릭하면 업데이트 해라고만 나오네요. 댓글에 나오는데로 해도 안되네요.,이번 업뎃하고 하고부터 이번주 미션 창이 열리질않네요 클릭하면 업데이트 해라고만 나오네요 댓글에 나오는데로 해도 안되네요,0.19751182300307812,부정,부정
김정훈,1,2026-05-30 15:10:00,계속 업데이트 요구,계속 업데이트 요구,0.6797413111793716,긍정,부정
채민규,1,2026-05-30 14:23:52,에러가 너무많음 트래핑도 좀,에러가 너무많음 트래핑도 좀,0.06611337693582409,부정,부정
김동호,1,2026-05-30 13:54:31,"이번에 내 계좌전체보기에서 '금리 좋은 상품모음', '남는돈으로 주식투자 하려면' 등 생뚱맞게 추가된 부분은 역대 최악의 패치라고 봄. 이거 내 계좌 및 자산을 보는데 흐름도 끊기고 심지어 온오프도 안되는 강제임. 진짜 앱이용하는데 불편하고 불쾌함.",이번에 내 계좌전체보기에서 금리 좋은 상품모음 남는돈으로 주식투자 하려면 등 생뚱맞게 추가된 부분은 역대 최악의 패치라고 봄 이거 내 계좌 및 자산을 보는데 흐름도 끊기고 심지어 온오프도 안되는 강제임 진짜 앱이용하는데 불편하고 불쾌함,0.012588577232844964,부정,부정
이영숙,4,2026-05-30 13:44:33,어려워요,어려워요,0.48082305090373345,부정,긍정
김재문,3,2026-05-30 13:41:49,계속 업데이트 화면 뜸,계속 업데이트 화면 뜸,0.713938954631726,긍정,중립
김우리엘 (여울이 아빠),1,2026-05-30 13:38:04,오늘의 미션 업데이트 후 한다더니 29일이 아니라 30일에도 안 되고 계속 업데이트 하라고만 하네요? 뭔가요,오늘의 미션 업데이트 후 한다더니 일이 아니라 일에도 안 되고 계속 업데이트 하라고만 하네요 뭔가요,0.394507732571593,부정,부정
김경도,3,2026-05-30 13:20:56,앱에 이거저거 계속 추가하더니 앱이 엄청무거워짐,앱에 이거저거 계속 추가하더니 앱이 엄청무거워짐,0.47910304259327324,부정,중립
Justin Lee,3,2026-05-30 13:06:50,이번주 미션 업데이트 언제 해줄건가요?? 늦어요.,이번주 미션 업데이트 언제 해줄건가요 늦어요,0.45802059267893674,부정,중립
이남곤,5,2026-05-30 13:01:04,숨쉬듯 사용합니다,숨쉬듯 사용합니다,0.4091359596253991,부정,긍정
이미희,5,2026-05-30 12:42:42,항상 잘사용하고 있어요,항상 잘사용하고 있어요,0.9105586237027797,긍정,긍정
666 hello,1,2026-05-30 12:28:59,토스인컴인가 그거 때문에 어플 지움,토스인컴인가 그거 때문에 어플 지움,0.11022745843120622,부정,부정
황서진,5,2026-05-30 12:17:06,이벤트도 다양하고 좋음.,이벤트도 다양하고 좋음,0.7609301477237346,긍정,긍정
장재혁,2,2026-05-30 12:07:22,일주일 미션에 참여하려면 앱 업데이트를 시켜야 한다고 해놓고 정작 구글 플레이스토어에 들어가면 업데이트를 할수 없게 해놓은건 무슨 경우죠? 어플 개선의 의지가 있으시다면 빨리 구글플레이의 토스 항목에 업데이트 버튼을 만들어 주시면 감사하겠습니다.,일주일 미션에 참여하려면 앱 업데이트를 시켜야 한다고 해놓고 정작 구글 플레이스토어에 들어가면 업데이트를 할수 없게 해놓은건 무슨 경우죠 어플 개선의 의지가 있으시다면 빨리 구글플레이의 토스 항목에 업데이트 버튼을 만들어 주시면 감사하겠습니다,0.2029343096886174,부정,부정
김종현,5,2026-05-30 12:06:59,열심히 하시면 돈이 생겨요. 허루하루 화이팅.!,열심히 하시면 돈이 생겨요 허루하루 화이팅,0.12380469014693644,부정,긍정
박종님,5,2026-05-30 11:57:34,좋아요 재미있고요,좋아요 재미있고요,0.9931559085974366,긍정,긍정
이성규,5,2026-05-30 11:54:13,ᆢ한,한,0.39333146729011237,부정,긍정
이도,1,2026-05-30 11:50:58,업데이트하라고 해서했는데 안열림 업데이트 이미 했는데 뭔 업데이트를 또하라는거지? 업데이트도 안되고 열리지도 않고 제거만 있구만. 쓰레기,업데이트하라고 해서했는데 안열림 업데이트 이미 했는데 뭔 업데이트를 또하라는거지 업데이트도 안되고 열리지도 않고 제거만 있구만 쓰레기,0.09486260832605967,부정,부정
jeo p,2,2026-05-30 11:29:48,"쓸데없는 알림이 너무 많습니다. 분명히 설정에서 결제, 입출금알림제외하고 다 껏는데도 불구하고 같은 내용의 불필요한 알림이 계속 와서 점점 인내심의 한계를 느낍니다. 처음 사용경험이 좋아 주 통장을 토스로 바꾼 후 2년넘게 잘 사용하고 있지만 요즘들어 그 좋았던 사용경험은 점점 사라지고 어지러운 광고와 불편한 ui, 그리고 불필요한 광고성(특히 토스인컴)알람이 사람을 불편하게합니다. 요즘은 내가 왜 굳이 이 앱을 사용하고 있지라는 생각이 점점 많아지고있고 주변에서도 다들 같은말을 합니다.",쓸데없는 알림이 너무 많습니다 분명히 설정에서 결제 입출금알림제외하고 다 껏는데도 불구하고 같은 내용의 불필요한 알림이 계속 와서 점점 인내심의 한계를 느낍니다 처음 사용경험이 좋아 주 통장을 토스로 바꾼 후 년넘게 잘 사용하고 있지만 요즘들어 그 좋았던 사용경험은 점점 사라지고 어지러운 광고와 불편한  그리고 불필요한 광고성특히 토스인컴알람이 사람을 불편하게합니다 요즘은 내가 왜 굳이 이 앱을 사용하고 있지라는 생각이 점점 많아지고있고 주변에서도 다들 같은말을 합니다,0.1511939544492841,부정,부정
우정호,4,2026-05-30 11:21:57,굿,굿,0.9694210783202586,긍정,긍정
박향자,5,2026-05-30 11:21:51,"게임미션이 많아요. 채널추가나 구독 미션을 더 늘려 주시면 감사하겠습니다. 🙏 안녕하세요? 미니앱 포인트볼 서비스가 멈춰있는데, 앞으로는 이용할수 없나요?",게임미션이 많아요 채널추가나 구독 미션을 더 늘려 주시면 감사하겠습니다  안녕하세요 미니앱 포인트볼 서비스가 멈춰있는데 앞으로는 이용할수 없나요,0.2762175064918233,부정,긍정
신종호,4,2026-05-30 11:18:53,오늘의 미션 오류인가요 좀 이상하네요,오늘의 미션 오류인가요 좀 이상하네요,0.08916412977120108,부정,긍정
박경출,4,2026-05-30 11:06:08,좋와 요,좋와 요,0.8564899811572351,긍정,긍정
최운식,3,2026-05-30 10:52:52,진실 합니다 매력적 입니다,진실 합니다 매력적 입니다,0.9856279122321697,긍정,중립
서준석,5,2026-05-30 10:40:24,"현금화의 편리함: 모은 포인트는 현금과 1:1 가치를 가지며, 토스뱅크나 본인 계좌로 수수료 없이(또는 조건에 따라) 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다 현금화의 편리함: 모은 포인트는 현금과 1:1 가치를 가지며, 토스뱅크나 본인 계좌로 수수료 없이(또는 조건에 따라) 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다",현금화의 편리함 모은 포인트는 현금과  가치를 가지며 토스뱅크나 본인 계좌로 수수료 없이또는 조건에 따라 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다 현금화의 편리함 모은 포인트는 현금과  가치를 가지며 토스뱅크나 본인 계좌로 수수료 없이또는 조건에 따라 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다,0.43156818021516025,부정,긍정
kyeongbeom lee,1,2026-05-30 10:30:54,이번 주 미션이 달라졌어요 5월 29일부터 더 많은 혜택을 드리는 오늘의 포인트 미션으로 바뀌어요. 업데이트하라는 말만 무한 반복하네요. 안되는 것으로 달라졌나요.,이번 주 미션이 달라졌어요 월 일부터 더 많은 혜택을 드리는 오늘의 포인트 미션으로 바뀌어요 업데이트하라는 말만 무한 반복하네요 안되는 것으로 달라졌나요,0.27085286180305224,부정,부정
손평한,5,2026-05-30 10:21:44,좋아요,좋아요,0.9931559085974366,긍정,긍정
김경일,1,2026-05-30 10:11:29,업데이트 하고 안되네요 삭제하고 다시해도 안되네요 업데이트 하면 좋아져야 하는거 아닐까요 근데 왜 안되나요,업데이트 하고 안되네요 삭제하고 다시해도 안되네요 업데이트 하면 좋아져야 하는거 아닐까요 근데 왜 안되나요,0.35798178379180484,부정,부정
엄노미,5,2026-05-30 10:06:03,좋아요~^^,좋아요,0.9931559085974366,긍정,긍정
go ban,1,2026-05-30 09:55:09,오늘의 포인트 미션 하라고 업데이트 하라는데 기종이 업데이트가 안됩니다. 기종때문인거 같은데 폰 안바꾸면 토스는 못 쓰게 되는걸까요?,오늘의 포인트 미션 하라고 업데이트 하라는데 기종이 업데이트가 안됩니다 기종때문인거 같은데 폰 안바꾸면 토스는 못 쓰게 되는걸까요,0.2395787294109848,부정,부정
김태윤,1,2026-05-30 09:50:43,광고토스 인기 컨텐츠 찾기 심듦,광고토스 인기 컨텐츠 찾기 심듦,0.1538349920849946,부정,부정
Donghyun kim,1,2026-05-30 09:50:13,숨기지 말고 보기 쉽게 광고 너무 많음,숨기지 말고 보기 쉽게 광고 너무 많음,0.11968300336934838,부정,부정
최갑구,4,2026-05-30 09:49:11,복잡해 불편함,복잡해 불편함,0.3807192135251908,부정,긍정
김영아,3,2026-05-30 09:48:49,업데이트를 했는데 자꾸 업데이트하라고 뜨는 이유가 뭐죠???,업데이트를 했는데 자꾸 업데이트하라고 뜨는 이유가 뭐죠,0.3103220496274167,부정,중립
GilDong Hong,1,2026-05-30 09:41:37,이번주미션 업데이트를하라는데 안됨 이틀째 못함.포인트주기 싫음 말던가 있지도 않은 업데이트를 하라니..,이번주미션 업데이트를하라는데 안됨 이틀째 못함포인트주기 싫음 말던가 있지도 않은 업데이트를 하라니,0.09433378949939722,부정,부정
박경선,3,2026-05-30 09:41:09,좋아요,좋아요,0.9931559085974366,긍정,중립
WI J (kruzz),4,2026-05-30 09:40:42,이번주미션 실행문제 가 있습니다 28일부터 미션을하려 누르면 업뎃하라고 앱스토어로 연결 .. 업뎃은 안되고 같은 오류만 계속 됩니다. 캐쉬도 삭제해보고 앱도 삭제후 다시 설치해도 동일하네요~ 해결방법 알려주세요~,이번주미션 실행문제 가 있습니다 일부터 미션을하려 누르면 업뎃하라고 앱스토어로 연결  업뎃은 안되고 같은 오류만 계속 됩니다 캐쉬도 삭제해보고 앱도 삭제후 다시 설치해도 동일하네요 해결방법 알려주세요,0.3090295754360099,부정,긍정
김여진,4,2026-05-30 09:21:48,게임주,게임주,0.16101590087900297,부정,긍정
선화공주,1,2026-05-30 09:18:11,이번주미션이 오늘갑자기안들어가집니다 오류빨리수정해주세여,이번주미션이 오늘갑자기안들어가집니다 오류빨리수정해주세여,0.5753257639548027,긍정,부정
윤양호,5,2026-05-30 09:16:31,"ᆢ,",,0.44579230199633696,부정,긍정
강은혜,5,2026-05-30 09:15:52,모든 은행 잔액과 수수료무료 간편이체 너무너무 좋아요 70대 엄마도 토스 잘 쓰세요~~,모든 은행 잔액과 수수료무료 간편이체 너무너무 좋아요 대 엄마도 토스 잘 쓰세요,0.9485014799705103,긍정,긍정
이남규,1,2026-05-30 09:14:01,오늘의 미션 확인해주세요 토스 업데이트 했는데도 계속 업데이트 필요하다며 업데이트 버튼은 무한루프 입니다 그래서 업데이트 버튼 또 눌러도 그냥 토스앱으로 이동하구요 ㅠㅠ,오늘의 미션 확인해주세요 토스 업데이트 했는데도 계속 업데이트 필요하다며 업데이트 버튼은 무한루프 입니다 그래서 업데이트 버튼 또 눌러도 그냥 토스앱으로 이동하구요 ㅠㅠ,0.5319830188033379,긍정,부정
아몰랑,3,2026-05-30 09:10:30,오늘의 미션 이용하려면 앱 업데이트 하라면서 정작 업데이트 누르면 플레이 스토어에 업데이트 버튼이 없습니다,오늘의 미션 이용하려면 앱 업데이트 하라면서 정작 업데이트 누르면 플레이 스토어에 업데이트 버튼이 없습니다,0.19375352406180932,부정,중립
한덕구,4,2026-05-30 09:08:39,잘 사용하고 있어요!^^...,잘 사용하고 있어요,0.8639418104802569,긍정,긍정
김미화,5,2026-05-30 08:58:31,앱을하면 즐겁고.재미가있어요,앱을하면 즐겁고재미가있어요,0.7625060968510197,긍정,긍정
남이상민,3,2026-05-30 08:51:26,업데이트하고 이용하라는데 업데이트한 사람이 있긴함? 그리고 앱 업데이트를 순차적으로 배포한다는게 말이 되나싶네 업데이트가 무슨 선착순 미션도 아니고 어이가 좀 없네,업데이트하고 이용하라는데 업데이트한 사람이 있긴함 그리고 앱 업데이트를 순차적으로 배포한다는게 말이 되나싶네 업데이트가 무슨 선착순 미션도 아니고 어이가 좀 없네,0.1523840934715563,부정,중립
정귀숙,5,2026-05-30 08:42:33,편해요,편해요,0.44579230199633696,부정,긍정
이호석,5,2026-05-30 08:36:08,금융지식에 도움이됩니다 시중은행 보다 금리도 좋구요 ^^,금융지식에 도움이됩니다 시중은행 보다 금리도 좋구요 ,0.5611993091087403,긍정,긍정
seokbok jeong,5,2026-05-30 08:30:16,포인트 모으기 좋아요!,포인트 모으기 좋아요,0.8118775713943023,긍정,긍정
귀요미들마리레고,1,2026-05-30 08:11:30,오늘의미션 눌르면 업데이트하기뜨고 그거 눌르면 구글플레이 토스 열기 뜨고 다시 오늘미션화면가면 같은현상 반복 장난하나,오늘의미션 눌르면 업데이트하기뜨고 그거 눌르면 구글플레이 토스 열기 뜨고 다시 오늘미션화면가면 같은현상 반복 장난하나,0.1269945946355649,부정,부정
밀양아재,5,2026-05-30 08:06:41,쉽게사용할수있어좋아요 은행갈 필요가없어요,쉽게사용할수있어좋아요 은행갈 필요가없어요,0.22803968352993437,부정,긍정
조남희,4,2026-05-30 08:06:02,조와요,조와요,0.7749012308076965,긍정,긍정
원경원,5,2026-05-30 07:36:59,좋아요,좋아요,0.9931559085974366,긍정,긍정
김일억,5,2026-05-30 07:35:46,좋아서요. 유익했고요. 앞으로 계속 애용할겁니다,좋아서요 유익했고요 앞으로 계속 애용할겁니다,0.8124038962868271,긍정,긍정
신syo5632@gmail.com,5,2026-05-30 07:11:59,포인트도 많이 쌓이고 다양하게 사용할수 있어서 너무 편리하고 좋아요,포인트도 많이 쌓이고 다양하게 사용할수 있어서 너무 편리하고 좋아요,0.7955253990166924,긍정,긍정
임기서,5,2026-05-30 07:11:54,쪼아,쪼아,0.5880319913790063,긍정,긍정
김부곤,2,2026-05-30 07:10:24,업데이트가 왜 안되는데? 사흘째 이러고 있으니 짜증이 나려고 하네요.,업데이트가 왜 안되는데 사흘째 이러고 있으니 짜증이 나려고 하네요,0.09514921644184911,부정,부정
김형국,5,2026-05-30 07:08:02,.좋아요.,좋아요,0.9931559085974366,긍정,긍정
조현석,5,2026-05-30 07:05:17,사용잘하고이습니다 편하게 생각하고 있습니다,사용잘하고이습니다 편하게 생각하고 있습니다,0.8857349601768549,긍정,긍정
gyu hwan son,5,2026-05-30 07:02:38,빠르고 편리한 금융거래 및 정보제공,빠르고 편리한 금융거래 및 정보제공,0.8212881423224674,긍정,긍정
이프로부족,1,2026-05-30 07:00:46,엉망..업뎃했는데도 열어 보면 안되고 또 업뎃 하라고 함,엉망업뎃했는데도 열어 보면 안되고 또 업뎃 하라고 함,0.08885484595429625,부정,부정
엄기철,5,2026-05-30 06:56:15,좋아요,좋아요,0.9931559085974366,긍정,긍정
박민희,3,2026-05-30 06:55:10,이번주미션 업데이트했는데 자꾸 업데이트하라고만하고 안열려요 업데이트해서 더 불편해요,이번주미션 업데이트했는데 자꾸 업데이트하라고만하고 안열려요 업데이트해서 더 불편해요,0.6375564148252969,긍정,중립
김진근,4,2026-05-30 06:51:10,좋아요🍀,좋아요,0.9931559085974366,긍정,긍정
김종환,1,2026-05-30 06:44:17,업데이트가 안됌.,업데이트가 안됌,0.26008702175149745,부정,부정
강Noella,5,2026-05-30 06:41:10,쉽게 다가 갈수 있어서 좋아요,쉽게 다가 갈수 있어서 좋아요,0.8099284489832123,긍정,긍정
최옥순,5,2026-05-30 06:40:35,모르르정보고뮤좋아요,모르르정보고뮤좋아요,0.8942687918216045,긍정,긍정
김길녀,5,2026-05-30 06:36:20,잘사용하고 있습니다,잘사용하고 있습니다,0.8305157444889739,긍정,긍정
Sang Park Shim,4,2026-05-30 06:35:26,잘쓰고있습니다,잘쓰고있습니다,0.44579230199633696,부정,긍정
김영섭,5,2026-05-30 06:34:50,매우유용함,매우유용함,0.7192940220027816,긍정,긍정
박은석,5,2026-05-30 06:32:10,돈도 모으고 재미 있어요,돈도 모으고 재미 있어요,0.5634120342618466,긍정,긍정
haejong lee,5,2026-05-30 06:24:50,너무 좋음. 강추,너무 좋음 강추,0.9980959158348838,긍정,긍정
Faunus SK,5,2026-05-30 06:17:02,사용하기 편해요,사용하기 편해요,0.13900452065618,부정,긍정
김경자,5,2026-05-30 06:02:45,좋아요,좋아요,0.9931559085974366,긍정,긍정
이오현,5,2026-05-30 05:59:21,아주 좋아요 다만 광고만 좀 줄여 주시길,아주 좋아요 다만 광고만 좀 줄여 주시길,0.5021456129277753,긍정,긍정
tv도라지꽃,5,2026-05-30 05:50:36,대박~~^^,대박,0.9878805401994077,긍정,긍정
박종태,5,2026-05-30 05:45:12,최고예요,최고예요,0.9881745689073239,긍정,긍정
조병창,1,2026-05-30 05:42:47,잘되는걸 아예안되게 해놨네요 문제자체가안보여요,잘되는걸 아예안되게 해놨네요 문제자체가안보여요,0.27869258954100684,부정,부정
최희준,5,2026-05-30 05:37:31,아주좋아요,아주좋아요,0.9319288955582572,긍정,긍정
이나연,5,2026-05-30 05:27:09,운동도나고 포인트 받기 좋아요~,운동도나고 포인트 받기 좋아요,0.8625570422252478,긍정,긍정
황교목 조달계약관리사,5,2026-05-30 05:16:42,금융통합 편리함.,금융통합 편리함,0.5229666271925782,긍정,긍정
강회숙,5,2026-05-30 05:00:41,😛,,0.44579230199633696,부정,긍정
Google 사용자,5,2026-05-30 04:35:20,용돈도 생기고 최고입니다,용돈도 생기고 최고입니다,0.9451573620729418,긍정,긍정
정숙란,5,2026-05-30 04:31:45,왜 매달 5900원씩 빠저 나갑니까 한달 사용하는 사용요금 입니까 그것 말고는 잘 하고 있습니다,왜 매달 원씩 빠저 나갑니까 한달 사용하는 사용요금 입니까 그것 말고는 잘 하고 있습니다,0.4049085033054228,부정,긍정
양준호,5,2026-05-30 04:25:40,아주좋아요,아주좋아요,0.9319288955582572,긍정,긍정
