작성자,평점,날짜,리뷰내용
김경도,3,2026-05-30 13:20:56,앱에 이거저거 계속 추가하더니 앱이 엄청무거워짐
Justin Lee,3,2026-05-30 13:06:50,이번주 미션 업데이트 언제 해줄건가요?? 늦어요.
이남곤,5,2026-05-30 13:01:04,숨쉬듯 사용합니다
이미희,5,2026-05-30 12:42:42,항상 잘사용하고 있어요
666 hello,1,2026-05-30 12:28:59,토스인컴인가 그거 때문에 어플 지움
황서진,5,2026-05-30 12:17:06,이벤트도 다양하고 좋음.
장재혁,2,2026-05-30 12:07:22,일주일 미션에 참여하려면 앱 업데이트를 시켜야 한다고 해놓고 정작 구글 플레이스토어에 들어가면 업데이트를 할수 없게 해놓은건 무슨 경우죠? 어플 개선의 의지가 있으시다면 빨리 구글플레이의 토스 항목에 업데이트 버튼을 만들어 주시면 감사하겠습니다.
김종현,5,2026-05-30 12:06:59,열심히 하시면 돈이 생겨요. 허루하루 화이팅.!
박종님,5,2026-05-30 11:57:34,좋아요 재미있고요
이성규,5,2026-05-30 11:54:13,ᆢ한
이도,1,2026-05-30 11:50:58,업데이트하라고 해서했는데 안열림 업데이트 이미 했는데 뭔 업데이트를 또하라는거지? 업데이트도 안되고 열리지도 않고 제거만 있구만. 쓰레기
jeo p,2,2026-05-30 11:29:48,"쓸데없는 알림이 너무 많습니다. 분명히 설정에서 결제, 입출금알림제외하고 다 껏는데도 불구하고 같은 내용의 불필요한 알림이 계속 와서 점점 인내심의 한계를 느낍니다. 처음 사용경험이 좋아 주 통장을 토스로 바꾼 후 2년넘게 잘 사용하고 있지만 요즘들어 그 좋았던 사용경험은 점점 사라지고 어지러운 광고와 불편한 ui, 그리고 불필요한 광고성(특히 토스인컴)알람이 사람을 불편하게합니다. 요즘은 내가 왜 굳이 이 앱을 사용하고 있지라는 생각이 점점 많아지고있고 주변에서도 다들 같은말을 합니다."
우정호,4,2026-05-30 11:21:57,굿
박향자,5,2026-05-30 11:21:51,"게임미션이 많아요. 채널추가나 구독 미션을 더 늘려 주시면 감사하겠습니다. 🙏 안녕하세요? 미니앱 포인트볼 서비스가 멈춰있는데, 앞으로는 이용할수 없나요?"
신종호,4,2026-05-30 11:18:53,오늘의 미션 오류인가요 좀 이상하네요
박경출,4,2026-05-30 11:06:08,좋와 요
최운식,3,2026-05-30 10:52:52,진실 합니다 매력적 입니다
서준석,5,2026-05-30 10:40:24,"현금화의 편리함: 모은 포인트는 현금과 1:1 가치를 가지며, 토스뱅크나 본인 계좌로 수수료 없이(또는 조건에 따라) 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다 현금화의 편리함: 모은 포인트는 현금과 1:1 가치를 가지며, 토스뱅크나 본인 계좌로 수수료 없이(또는 조건에 따라) 바로 출금하거나 결제 시 현금처럼 쓸 수 있습니다"
kyeongbeom lee,1,2026-05-30 10:30:54,이번 주 미션이 달라졌어요 5월 29일부터 더 많은 혜택을 드리는 오늘의 포인트 미션으로 바뀌어요. 업데이트하라는 말만 무한 반복하네요. 안되는 것으로 달라졌나요.
손평한,5,2026-05-30 10:21:44,좋아요
김경일,1,2026-05-30 10:11:29,업데이트 하고 안되네요 삭제하고 다시해도 안되네요 업데이트 하면 좋아져야 하는거 아닐까요 근데 왜 안되나요
엄노미,5,2026-05-30 10:06:03,좋아요~^^
go ban,1,2026-05-30 09:55:09,오늘의 포인트 미션 하라고 업데이트 하라는데 기종이 업데이트가 안됩니다. 기종때문인거 같은데 폰 안바꾸면 토스는 못 쓰게 되는걸까요?
김태윤,1,2026-05-30 09:50:43,광고토스 인기 컨텐츠 찾기 심듦
Donghyun kim,1,2026-05-30 09:50:13,숨기지 말고 보기 쉽게 광고 너무 많음
최갑구,4,2026-05-30 09:49:11,복잡해 불편함
김영아,3,2026-05-30 09:48:49,업데이트를 했는데 자꾸 업데이트하라고 뜨는 이유가 뭐죠???
GilDong Hong,1,2026-05-30 09:41:37,이번주미션 업데이트를하라는데 안됨 이틀째 못함.포인트주기 싫음 말던가 있지도 않은 업데이트를 하라니..
박경선,3,2026-05-30 09:41:09,좋아요
WI J (kruzz),4,2026-05-30 09:40:42,이번주미션 실행문제 가 있습니다 28일부터 미션을하려 누르면 업뎃하라고 앱스토어로 연결 .. 업뎃은 안되고 같은 오류만 계속 됩니다. 캐쉬도 삭제해보고 앱도 삭제후 다시 설치해도 동일하네요~ 해결방법 알려주세요~
김여진,4,2026-05-30 09:21:48,게임주
선화공주,1,2026-05-30 09:18:11,이번주미션이 오늘갑자기안들어가집니다 오류빨리수정해주세여
윤양호,5,2026-05-30 09:16:31,"ᆢ,"
강은혜,5,2026-05-30 09:15:52,모든 은행 잔액과 수수료무료 간편이체 너무너무 좋아요 70대 엄마도 토스 잘 쓰세요~~
이남규,1,2026-05-30 09:14:01,오늘의 미션 확인해주세요 토스 업데이트 했는데도 계속 업데이트 필요하다며 업데이트 버튼은 무한루프 입니다 그래서 업데이트 버튼 또 눌러도 그냥 토스앱으로 이동하구요 ㅠㅠ
아몰랑,3,2026-05-30 09:10:30,오늘의 미션 이용하려면 앱 업데이트 하라면서 정작 업데이트 누르면 플레이 스토어에 업데이트 버튼이 없습니다
한덕구,4,2026-05-30 09:08:39,잘 사용하고 있어요!^^...
김미화,5,2026-05-30 08:58:31,앱을하면 즐겁고.재미가있어요
남이상민,3,2026-05-30 08:51:26,업데이트하고 이용하라는데 업데이트한 사람이 있긴함? 그리고 앱 업데이트를 순차적으로 배포한다는게 말이 되나싶네 업데이트가 무슨 선착순 미션도 아니고 어이가 좀 없네
정귀숙,5,2026-05-30 08:42:33,편해요
이호석,5,2026-05-30 08:36:08,금융지식에 도움이됩니다 시중은행 보다 금리도 좋구요 ^^
seokbok jeong,5,2026-05-30 08:30:16,포인트 모으기 좋아요!
귀요미들마리레고,1,2026-05-30 08:11:30,오늘의미션 눌르면 업데이트하기뜨고 그거 눌르면 구글플레이 토스 열기 뜨고 다시 오늘미션화면가면 같은현상 반복 장난하나
밀양아재,5,2026-05-30 08:06:41,쉽게사용할수있어좋아요 은행갈 필요가없어요
조남희,4,2026-05-30 08:06:02,조와요
원경원,5,2026-05-30 07:36:59,좋아요
김일억,5,2026-05-30 07:35:46,좋아서요. 유익했고요. 앞으로 계속 애용할겁니다
신syo5632@gmail.com,5,2026-05-30 07:11:59,포인트도 많이 쌓이고 다양하게 사용할수 있어서 너무 편리하고 좋아요
임기서,5,2026-05-30 07:11:54,쪼아
김부곤,2,2026-05-30 07:10:24,업데이트가 왜 안되는데? 사흘째 이러고 있으니 짜증이 나려고 하네요.
김형국,5,2026-05-30 07:08:02,.좋아요.
조현석,5,2026-05-30 07:05:17,사용잘하고이습니다 편하게 생각하고 있습니다
gyu hwan son,5,2026-05-30 07:02:38,빠르고 편리한 금융거래 및 정보제공
이프로부족,1,2026-05-30 07:00:46,엉망..업뎃했는데도 열어 보면 안되고 또 업뎃 하라고 함
엄기철,5,2026-05-30 06:56:15,좋아요
박민희,3,2026-05-30 06:55:10,이번주미션 업데이트했는데 자꾸 업데이트하라고만하고 안열려요 업데이트해서 더 불편해요
김진근,4,2026-05-30 06:51:10,좋아요🍀
김종환,1,2026-05-30 06:44:17,업데이트가 안됌.
강Noella,5,2026-05-30 06:41:10,쉽게 다가 갈수 있어서 좋아요
최옥순,5,2026-05-30 06:40:35,모르르정보고뮤좋아요
김길녀,5,2026-05-30 06:36:20,잘사용하고 있습니다
Sang Park Shim,4,2026-05-30 06:35:26,잘쓰고있습니다
김영섭,5,2026-05-30 06:34:50,매우유용함
박은석,5,2026-05-30 06:32:10,돈도 모으고 재미 있어요
haejong lee,5,2026-05-30 06:24:50,너무 좋음. 강추
Faunus SK,5,2026-05-30 06:17:02,사용하기 편해요
김경자,5,2026-05-30 06:02:45,좋아요
이오현,5,2026-05-30 05:59:21,아주 좋아요 다만 광고만 좀 줄여 주시길
tv도라지꽃,5,2026-05-30 05:50:36,대박~~^^
박종태,5,2026-05-30 05:45:12,최고예요
조병창,1,2026-05-30 05:42:47,잘되는걸 아예안되게 해놨네요 문제자체가안보여요
최희준,5,2026-05-30 05:37:31,아주좋아요
이나연,5,2026-05-30 05:27:09,운동도나고 포인트 받기 좋아요~
황교목 조달계약관리사,5,2026-05-30 05:16:42,금융통합 편리함.
강회숙,5,2026-05-30 05:00:41,😛
Google 사용자,5,2026-05-30 04:35:20,용돈도 생기고 최고입니다
정숙란,5,2026-05-30 04:31:45,왜 매달 5900원씩 빠저 나갑니까 한달 사용하는 사용요금 입니까 그것 말고는 잘 하고 있습니다
양준호,5,2026-05-30 04:25:40,아주좋아요
김정현,5,2026-05-30 04:09:33,토스 잘 사용히고 있습니다 토스증권에서 다양한 주식 구매 방법이 있는데 새로운 주기적 구매 방법에 대한 아이디어가 있어 작성합니다 특정 주식에서 배당금이 나오면 자동으로 그주식 배당금으로 나온 금액 만큼 다시 그 주식을 구매해주는 기능이 있다면 좋겠다 생각합니다
조순자,4,2026-05-30 04:00:17,앱사용이편리했으면합니다
제이은,1,2026-05-30 03:12:38,"증권. 분봉차트에서 날짜 구분선 설정 체크 해제 했는데 구분선이 안 사라져요!!!!! 그리고 프로그램 거래량 매도수량, 매수수량 왜 토스증권만 달라요? 제가 증권사 4곳 보는데 3곳은 일치하는데.. 토스증권만 달라요"
최병석,4,2026-05-30 03:01:56,굿굿굿
jung kim,1,2026-05-30 02:57:39,업데이트 하라해서 했는데 않됨.
아리아홉꼬리,5,2026-05-30 02:19:32,업데이트헤야 이용가능한 부분에서 무한 반복중.. 구글앱에서는 업데이트없음..
홍정진,5,2026-05-30 02:00:13,포인트도싸이고~굿
진영숙,5,2026-05-30 01:09:07,참 좋아요
정성권,1,2026-05-30 00:56:52,왜 복잡해요노인들은 잘이용하기힘들어오ㅡ
문영민,5,2026-05-30 00:47:37,너무 유용한 앱이에요
이한휘,4,2026-05-30 00:46:16,다 좋은데 은행점검시간엔 홈에 대문짝만하게 점검시간이라고 표시됐으면 좋겠어요. 매번 잊어버리고 내역 확인하는데 점검시간이라는 메시지가 뒤늦게 뜨는 게 불편해요
Music Pastor Ph. D in Art Lee Chung,1,2026-05-30 00:35:00,이상해...
Rakyoung Kim,5,2026-05-30 00:28:20,굿
박금숙,5,2026-05-30 00:26:28,송금도 편리하고 좋은상품 가격도 저렴하고 만족요
박창근,4,2026-05-30 00:19:47,조아요
김보경,5,2026-05-30 00:15:47,상품 광고 보니까 좋은제품들이 많아 좋은것같아요
jiheon Song,5,2026-05-30 00:15:00,앱은 편리하고 좋은데 관리하시는분들이 너무 편하게 일하려는듯한 느낌을받았어요...이용자가 다소불편해도 관리하시는분들이 편할 수 있도륵...그런씩으로 일하시는듯한 느낌..편하지만 곧 사라질것같은 그런앱인듯 해요
이동훈,5,2026-05-30 00:13:50,👍
문재순,1,2026-05-30 00:12:14,했는데도 계속 업데이트 하라고 뜨네요ㅠ
조은새,5,2026-05-30 00:10:41,앱은 작동하고 서비스가있지만다음내용화면이 알수없는것
Psyche Kim,2,2026-05-30 00:03:23,"이번주 미션 하려면 업데이트하라고 나오는데, 업데이트 버튼이 아예 없네요. 그리고 만보기 긁기하며 포인트가 나오지 않고, 당연히 적립도 안돼요."
