Date,ticker,stock_name,Open,High,Low,Close,Volume,Adj Close
2023-03-13,005930.KS,삼성전자,77220,79700,75880,78730,18508894,78730
2023-03-14,005930.KS,삼성전자,79130,80920,78790,80010,17311848,80010
2023-03-15,005930.KS,삼성전자,80150,80950,77700,78910,12273367,78910
2023-03-16,005930.KS,삼성전자,79400,80200,77570,78350,15279683,78350
2023-03-17,005930.KS,삼성전자,77870,79260,76470,78590,15143045,78590
2023-03-20,005930.KS,삼성전자,78140,80390,77700,79890,20039949,79890
2023-03-21,005930.KS,삼성전자,79680,81210,79330,80120,17031280,80120
2023-03-22,005930.KS,삼성전자,79590,81130,78680,80230,13074344,80230
2023-03-23,005930.KS,삼성전자,80550,82020,80000,81800,17511235,81800
2023-03-24,005930.KS,삼성전자,81360,84080,80440,83140,11374847,83140
2023-03-27,005930.KS,삼성전자,83470,84510,82540,83770,12908546,83770
2023-03-28,005930.KS,삼성전자,84810,85690,83600,84990,17881937,84990
2023-03-29,005930.KS,삼성전자,84450,87570,83650,86150,12877856,86150
2023-03-30,005930.KS,삼성전자,85950,86980,84750,86170,15658526,86170
2023-03-31,005930.KS,삼성전자,86120,90290,85310,88760,14883377,88760
2023-04-03,005930.KS,삼성전자,89240,90490,87870,88540,13879785,88540
2023-04-04,005930.KS,삼성전자,88000,88510,87550,88240,16371356,88240
2023-04-05,005930.KS,삼성전자,88380,88850,86940,87340,12836430,87340
2023-04-06,005930.KS,삼성전자,87190,88590,85320,85820,21279746,85820
2023-04-07,005930.KS,삼성전자,85630,86350,82010,82210,18072074,82210
2023-04-10,005930.KS,삼성전자,83090,83740,81160,82380,22015041,82380
2023-04-11,005930.KS,삼성전자,82900,83810,82360,83610,21056699,83610
2023-04-12,005930.KS,삼성전자,84070,84820,82500,82730,16115104,82730
2023-04-13,005930.KS,삼성전자,82190,83360,79730,80310,19809941,80310
2023-04-14,005930.KS,삼성전자,80110,82250,79930,81390,19859116,81390
2023-04-17,005930.KS,삼성전자,80750,82550,79450,81860,13455626,81860
2023-04-18,005930.KS,삼성전자,81890,82700,80240,81000,10099030,81000
2023-04-19,005930.KS,삼성전자,81840,82020,78970,80280,16954770,80280
2023-04-20,005930.KS,삼성전자,80370,81390,76880,78050,21649288,78050
2023-04-21,005930.KS,삼성전자,78320,79120,77180,77540,16117686,77540
2023-04-24,005930.KS,삼성전자,78170,79180,77010,77750,12052623,77750
2023-04-25,005930.KS,삼성전자,77380,79420,76860,78160,15462698,78160
2023-04-26,005930.KS,삼성전자,78680,79980,76200,77530,13705552,77530
2023-04-27,005930.KS,삼성전자,77160,77670,76620,77440,9879362,77440
2023-04-28,005930.KS,삼성전자,77530,77870,75250,75950,18681503,75950
2023-05-01,005930.KS,삼성전자,75420,75530,73450,74710,15113071,74710
2023-05-02,005930.KS,삼성전자,74860,75740,74700,75110,16771849,75110
2023-05-03,005930.KS,삼성전자,74780,75910,74040,74690,13434001,74690
2023-05-04,005930.KS,삼성전자,74530,74710,72910,73390,13115585,73390
2023-05-05,005930.KS,삼성전자,73870,74550,71420,72670,13834446,72670
2023-05-08,005930.KS,삼성전자,73820,74320,71730,72240,16786405,72240
2023-05-09,005930.KS,삼성전자,72360,72770,70490,71220,18071348,71220
2023-05-10,005930.KS,삼성전자,70870,71360,69770,70090,14678431,70090
2023-05-11,005930.KS,삼성전자,70130,71320,67930,69180,12480669,69180
2023-05-12,005930.KS,삼성전자,69390,69670,67520,68210,15821908,68210
2023-05-15,005930.KS,삼성전자,68130,68830,67090,67700,12143516,67700
2023-05-16,005930.KS,삼성전자,67260,67400,66170,66920,18187034,66920
2023-05-17,005930.KS,삼성전자,66660,67300,66320,66910,13336628,66910
2023-05-18,005930.KS,삼성전자,67260,68380,63100,64090,19560354,64090
2023-05-19,005930.KS,삼성전자,64280,64900,62940,63970,6277026,63970
2023-05-22,005930.KS,삼성전자,64000,64160,61910,63030,19068846,63030
2023-05-23,005930.KS,삼성전자,63000,63900,62390,63080,10826958,63080
2023-05-24,005930.KS,삼성전자,62910,63030,62720,62850,14392578,62850
2023-05-25,005930.KS,삼성전자,62790,65270,61860,64440,17357588,64440
2023-05-26,005930.KS,삼성전자,64570,64900,61630,62330,19008230,62330
2023-05-29,005930.KS,삼성전자,61870,62980,61370,62260,12378518,62260
2023-05-30,005930.KS,삼성전자,62210,64750,61960,63770,14579610,63770
2023-05-31,005930.KS,삼성전자,63620,64130,61910,62830,15541079,62830
2023-06-01,005930.KS,삼성전자,62670,64020,61870,63830,15910057,63830
2023-06-02,005930.KS,삼성전자,63080,63270,60720,61680,17663866,61680
2023-06-05,005930.KS,삼성전자,61760,61860,60800,61510,17217098,61510
2023-06-06,005930.KS,삼성전자,61670,62250,59090,60100,21312948,60100
2023-06-07,005930.KS,삼성전자,59230,60520,58540,59560,17218107,59560
2023-06-08,005930.KS,삼성전자,58980,59640,58470,59170,14611566,59170
2023-06-09,005930.KS,삼성전자,59290,59740,57480,58490,18810561,58490
2023-06-12,005930.KS,삼성전자,58180,58640,57490,57970,13896465,57970
2023-06-13,005930.KS,삼성전자,57810,58840,56560,56970,17942825,56970
2023-06-14,005930.KS,삼성전자,56960,58250,56720,57410,17459884,57410
2023-06-15,005930.KS,삼성전자,57540,58680,57380,57750,15636329,57750
2023-06-16,005930.KS,삼성전자,57440,57520,56170,56670,15109224,56670
2023-06-19,005930.KS,삼성전자,56560,57430,56050,56530,16367101,56530
2023-06-20,005930.KS,삼성전자,56450,56820,55940,56110,14458044,56110
2023-06-21,005930.KS,삼성전자,56430,56980,54860,55320,19205711,55320
2023-06-22,005930.KS,삼성전자,55220,56190,54320,55250,16874628,55250
2023-06-23,005930.KS,삼성전자,55140,56170,54180,55340,13578939,55340
2023-06-26,005930.KS,삼성전자,55280,55450,54320,54870,15586054,54870
2023-06-27,005930.KS,삼성전자,54460,55450,53780,55220,19382371,55220
2023-06-28,005930.KS,삼성전자,55240,55730,53270,53830,13709112,53830
2023-06-29,005930.KS,삼성전자,53320,53960,52620,53420,11262712,53420
2023-06-30,005930.KS,삼성전자,53100,53880,51750,52330,13879454,52330
2023-07-03,005930.KS,삼성전자,51940,52660,51760,52060,15456073,52060
2023-07-04,005930.KS,삼성전자,52080,53080,51840,52550,13549632,52550
2023-07-05,005930.KS,삼성전자,52580,53010,51350,51490,17567906,51490
2023-07-06,005930.KS,삼성전자,51430,52000,51170,51410,14024173,51410
2023-07-07,005930.KS,삼성전자,51790,52640,49570,50280,16443832,50280
2023-07-10,005930.KS,삼성전자,50270,50530,49260,49510,13961519,49510
2023-07-11,005930.KS,삼성전자,49420,50320,49150,49660,16190848,49660
2023-07-12,005930.KS,삼성전자,49210,49950,48970,49350,16336876,49350
2023-07-13,005930.KS,삼성전자,49640,49940,48920,49240,16175637,49240
2023-07-14,005930.KS,삼성전자,49070,49180,47840,48610,18707051,48610
2023-07-17,005930.KS,삼성전자,48070,48890,47890,48550,10330324,48550
2023-07-18,005930.KS,삼성전자,48680,49500,47430,47690,19625787,47690
2023-07-19,005930.KS,삼성전자,47760,48450,46310,46970,17507951,46970
2023-07-20,005930.KS,삼성전자,46980,47620,46250,46640,15990549,46640
2023-07-21,005930.KS,삼성전자,46680,47320,45660,46390,16536740,46390
2023-07-24,005930.KS,삼성전자,46390,49050,46110,48320,20750900,48320
2023-07-25,005930.KS,삼성전자,48420,48530,48050,48370,10847650,48370
2023-07-26,005930.KS,삼성전자,48430,49250,47970,48890,18151350,48890
2023-07-27,005930.KS,삼성전자,49290,49790,49010,49210,17829593,49210
2023-07-28,005930.KS,삼성전자,48940,50380,48350,49620,16347368,49620
2023-07-31,005930.KS,삼성전자,50020,50500,48740,49080,19486858,49080
2023-08-01,005930.KS,삼성전자,49410,49940,47840,48000,15307247,48000
2023-08-02,005930.KS,삼성전자,48020,48470,47010,47590,13761624,47590
2023-08-03,005930.KS,삼성전자,47570,48230,46910,47150,13221952,47150
2023-08-04,005930.KS,삼성전자,47180,47650,46550,46670,14374212,46670
2023-08-07,005930.KS,삼성전자,46770,47120,46440,46510,13001206,46510
2023-08-08,005930.KS,삼성전자,46800,47500,45180,45850,14918078,45850
2023-08-09,005930.KS,삼성전자,46110,46700,45620,45800,11888929,45800
2023-08-10,005930.KS,삼성전자,45710,47370,44980,46680,18734565,46680
2023-08-11,005930.KS,삼성전자,46640,47900,46010,47260,16333702,47260
2023-08-14,005930.KS,삼성전자,46850,46980,46020,46500,24413994,46500
2023-08-15,005930.KS,삼성전자,46680,47450,46500,47230,18611081,47230
2023-08-16,005930.KS,삼성전자,47310,48240,47120,47610,10928294,47610
2023-08-17,005930.KS,삼성전자,47500,48360,47180,47840,16892362,47840
2023-08-18,005930.KS,삼성전자,48060,48770,47200,48580,19939838,48580
2023-08-21,005930.KS,삼성전자,48590,48990,47980,48580,10827092,48580
2023-08-22,005930.KS,삼성전자,48200,49080,47820,48390,17393332,48390
2023-08-23,005930.KS,삼성전자,48480,48960,47580,47690,13424373,47690
2023-08-24,005930.KS,삼성전자,48150,48880,47640,48050,11329582,48050
2023-08-25,005930.KS,삼성전자,47980,49560,47560,49150,9712436,49150
2023-08-28,005930.KS,삼성전자,49370,49840,48710,48790,14682268,48790
2023-08-29,005930.KS,삼성전자,49010,50110,48170,49280,15053883,49280
2023-08-30,005930.KS,삼성전자,48910,50160,48680,49670,16408207,49670
2023-08-31,005930.KS,삼성전자,49650,50360,48710,49440,12982380,49440
2023-09-01,005930.KS,삼성전자,49560,51550,48740,50750,19828538,50750
2023-09-04,005930.KS,삼성전자,50880,51760,50670,50910,13494022,50910
2023-09-05,005930.KS,삼성전자,50420,51020,50160,50470,14760941,50470
2023-09-06,005930.KS,삼성전자,50740,52050,50500,51360,25027180,51360
2023-09-07,005930.KS,삼성전자,51290,51880,50800,51260,15151720,51260
2023-09-08,005930.KS,삼성전자,51890,52430,51250,51450,13913258,51450
2023-09-11,005930.KS,삼성전자,51520,52270,50840,51570,16848697,51570
2023-09-12,005930.KS,삼성전자,51550,52250,50890,51560,6581105,51560
2023-09-13,005930.KS,삼성전자,51130,51380,50540,51250,8484132,51250
2023-09-14,005930.KS,삼성전자,51450,52230,50520,51400,11811072,51400
2023-09-15,005930.KS,삼성전자,51570,51960,50860,51090,18980148,51090
2023-09-18,005930.KS,삼성전자,50750,51830,50210,51590,14531441,51590
2023-09-19,005930.KS,삼성전자,51790,52500,50770,51670,16011643,51670
2023-09-20,005930.KS,삼성전자,51890,54080,51410,53220,20210174,53220
2023-09-21,005930.KS,삼성전자,52740,53500,51650,52470,15799051,52470
2023-09-22,005930.KS,삼성전자,52480,52650,51650,52420,14907527,52420
2023-09-25,005930.KS,삼성전자,52630,53360,50810,51470,16491020,51470
2023-09-26,005930.KS,삼성전자,51490,53350,50740,52840,20505591,52840
2023-09-27,005930.KS,삼성전자,52810,55020,52170,54840,13992957,54840
2023-09-28,005930.KS,삼성전자,54840,55710,53590,54290,13294896,54290
2023-09-29,005930.KS,삼성전자,54190,56020,54030,55560,17028985,55560
2023-10-02,005930.KS,삼성전자,55460,56090,55030,55260,15668644,55260
2023-10-03,005930.KS,삼성전자,55680,55750,53190,53980,19317809,53980
2023-10-04,005930.KS,삼성전자,54010,54670,53930,54210,19842653,54210
2023-10-05,005930.KS,삼성전자,54070,54550,53130,53910,16828814,53910
2023-10-06,005930.KS,삼성전자,53610,54700,53540,54550,11576685,54550
2023-10-09,005930.KS,삼성전자,54750,55480,54200,54260,12708403,54260
2023-10-10,005930.KS,삼성전자,54410,57390,54030,56640,24422358,56640
2023-10-11,005930.KS,삼성전자,56220,57550,55610,56990,17661959,56990
2023-10-12,005930.KS,삼성전자,56970,57810,56140,56880,16428569,56880
2023-10-13,005930.KS,삼성전자,57360,58680,56440,58140,11917354,58140
2023-10-16,005930.KS,삼성전자,58110,59370,57170,58710,14886373,58710
2023-10-17,005930.KS,삼성전자,58820,59330,57460,57710,14535054,57710
2023-10-18,005930.KS,삼성전자,57450,58020,57080,57560,14069374,57560
2023-10-19,005930.KS,삼성전자,57250,58290,56850,58220,17427991,58220
2023-10-20,005930.KS,삼성전자,59040,59460,58000,59020,17923207,59020
2023-10-23,005930.KS,삼성전자,59300,60510,58550,59850,11583712,59850
2023-10-24,005930.KS,삼성전자,59400,59480,58400,59190,14114176,59190
2023-10-25,005930.KS,삼성전자,59380,60530,58650,60130,18411548,60130
2023-10-26,005930.KS,삼성전자,60420,61970,59910,61110,18896169,61110
2023-10-27,005930.KS,삼성전자,61150,61700,59980,60200,17254015,60200
2023-10-30,005930.KS,삼성전자,60150,60530,58640,59430,19750737,59430
2023-10-31,005930.KS,삼성전자,59350,61160,59010,60630,22710112,60630
2023-11-01,005930.KS,삼성전자,60820,62590,60020,61810,16219541,61810
2023-11-02,005930.KS,삼성전자,62480,63000,60350,60730,14870724,60730
2023-11-03,005930.KS,삼성전자,61400,61610,59940,60470,11592707,60470
2023-11-06,005930.KS,삼성전자,60330,61390,57650,58470,17353478,58470
2023-11-07,005930.KS,삼성전자,58600,59190,57630,58300,12952851,58300
2023-11-08,005930.KS,삼성전자,58060,58870,57930,58570,13402620,58570
2023-11-09,005930.KS,삼성전자,58430,59420,57520,58240,14088840,58240
2023-11-10,005930.KS,삼성전자,57420,57670,55750,56720,20968771,56720
2023-11-13,005930.KS,삼성전자,56780,57740,56700,57150,13063302,57150
2023-11-14,005930.KS,삼성전자,57240,58270,56630,58080,14080529,58080
2023-11-15,005930.KS,삼성전자,58780,59400,57000,57800,8937048,57800
2023-11-16,005930.KS,삼성전자,57670,57830,56220,56790,12403401,56790
2023-11-17,005930.KS,삼성전자,56720,59070,56330,58220,16235554,58220
2023-11-20,005930.KS,삼성전자,59200,59510,58030,58580,18376647,58580
2023-11-21,005930.KS,삼성전자,58490,60010,57730,59460,17241188,59460
2023-11-22,005930.KS,삼성전자,59420,60420,59140,60340,19256440,60340
2023-11-23,005930.KS,삼성전자,60700,60890,58230,59200,13022892,59200
2023-11-24,005930.KS,삼성전자,59230,59920,59050,59390,12610046,59390
2023-11-27,005930.KS,삼성전자,59340,60270,56640,57320,15632362,57320
2023-11-28,005930.KS,삼성전자,56990,57780,55990,56560,18465464,56560
2023-11-29,005930.KS,삼성전자,56930,57790,55870,56040,11953267,56040
2023-11-30,005930.KS,삼성전자,56010,57160,55100,56520,11956618,56520
2023-12-01,005930.KS,삼성전자,56040,58800,55100,57970,16795188,57970
2023-12-04,005930.KS,삼성전자,57970,58100,56810,57390,13277591,57390
2023-12-05,005930.KS,삼성전자,57200,57480,55780,56470,20329457,56470
2023-12-06,005930.KS,삼성전자,56100,57380,55910,56540,15141061,56540
2023-12-07,005930.KS,삼성전자,55990,57670,55500,56680,17689076,56680
2023-12-08,005930.KS,삼성전자,57300,58200,55830,56330,11425879,56330
2023-12-11,005930.KS,삼성전자,55930,56020,55110,55470,19511485,55470
2023-12-12,005930.KS,삼성전자,55910,56500,55050,55920,13219049,55920
2023-12-13,005930.KS,삼성전자,56500,57500,54790,55140,11850881,55140
2023-12-14,005930.KS,삼성전자,55140,55840,53750,53990,20431191,53990
2023-12-15,005930.KS,삼성전자,54030,54500,53560,53880,11852740,53880
2023-12-18,005930.KS,삼성전자,53960,54900,53350,54000,18030923,54000
2023-12-19,005930.KS,삼성전자,53880,54800,53310,54550,19542094,54550
2023-12-20,005930.KS,삼성전자,53810,55540,53070,54600,17831305,54600
2023-12-21,005930.KS,삼성전자,54480,55350,51820,52440,14097893,52440
2023-12-22,005930.KS,삼성전자,52470,53160,51680,52720,17224133,52720
2023-12-25,005930.KS,삼성전자,52600,53290,51690,52790,15688575,52790
2023-12-26,005930.KS,삼성전자,52540,52920,51460,52110,13268426,52110
2023-12-27,005930.KS,삼성전자,52040,52860,51460,52010,13586160,52010
2023-12-28,005930.KS,삼성전자,51970,52880,51110,52260,9464902,52260
2023-12-29,005930.KS,삼성전자,52830,52930,50930,51140,14206468,51140
2024-01-01,005930.KS,삼성전자,51180,54250,50690,53760,20442611,53760
2024-01-02,005930.KS,삼성전자,54000,54440,52310,52690,15235746,52690
2024-01-03,005930.KS,삼성전자,52810,54020,52230,53200,15432569,53200
2024-01-04,005930.KS,삼성전자,53070,53780,51370,52140,23106502,52140
2024-01-05,005930.KS,삼성전자,51450,55290,50850,54550,19510836,54550
2024-01-08,005930.KS,삼성전자,54470,55220,53920,54390,15680288,54390
2024-01-09,005930.KS,삼성전자,54690,54810,53750,53860,20361164,53860
2024-01-10,005930.KS,삼성전자,54130,54380,51660,52290,22160258,52290
2024-01-11,005930.KS,삼성전자,52150,52510,51600,52200,19045010,52200
2024-01-12,005930.KS,삼성전자,52290,52790,51300,52180,16715226,52180
2024-01-15,005930.KS,삼성전자,52180,53250,51400,52890,14632914,52890
2024-01-16,005930.KS,삼성전자,53230,53790,51790,52320,17300381,52320
2024-01-17,005930.KS,삼성전자,52430,52990,51690,51910,12702241,51910
2024-01-18,005930.KS,삼성전자,52130,52860,51720,52790,15678365,52790
2024-01-19,005930.KS,삼성전자,52280,53210,51390,52810,16096929,52810
2024-01-22,005930.KS,삼성전자,52510,53390,51370,52210,16855131,52210
2024-01-23,005930.KS,삼성전자,52380,53630,51500,53410,17264255,53410
2024-01-24,005930.KS,삼성전자,53170,53750,52370,53120,12286468,53120
2024-01-25,005930.KS,삼성전자,53140,53980,52440,53360,16986328,53360
2024-01-26,005930.KS,삼성전자,52970,54210,52470,53310,12210742,53310
2024-01-29,005930.KS,삼성전자,53320,53880,52410,52720,16159818,52720
2024-01-30,005930.KS,삼성전자,53150,53260,52140,52350,14650178,52350
2024-01-31,005930.KS,삼성전자,52430,52640,52160,52300,9867187,52300
2024-02-01,005930.KS,삼성전자,52430,54140,51980,53520,12682374,53520
2024-02-02,005930.KS,삼성전자,53520,54280,52320,53020,19035969,53020
2024-02-05,005930.KS,삼성전자,53050,54480,52320,54360,19708796,54360
2024-02-06,005930.KS,삼성전자,54080,54800,53430,54340,16639093,54340
2024-02-07,005930.KS,삼성전자,54480,55860,54000,54950,13019047,54950
2024-02-08,005930.KS,삼성전자,54560,56000,54180,55410,15331007,55410
2024-02-09,005930.KS,삼성전자,55330,56020,52550,53320,21331263,53320
2024-02-12,005930.KS,삼성전자,53810,54500,52350,53200,9921819,53200
2024-02-13,005930.KS,삼성전자,52900,53520,51060,51490,22637309,51490
2024-02-14,005930.KS,삼성전자,51740,52580,50620,51480,13555013,51480
2024-02-15,005930.KS,삼성전자,50970,51340,50440,51290,8312640,51290
2024-02-16,005930.KS,삼성전자,51670,52390,51520,52110,13771972,52110
2024-02-19,005930.KS,삼성전자,52110,52860,51690,52110,14182407,52110
2024-02-20,005930.KS,삼성전자,52290,52800,51370,51600,16383535,51600
2024-02-21,005930.KS,삼성전자,52180,52380,50840,51530,12286355,51530
2024-02-22,005930.KS,삼성전자,51270,51910,50420,51030,17485265,51030
2024-02-23,005930.KS,삼성전자,51400,52190,50780,51590,11896921,51590
2024-02-26,005930.KS,삼성전자,51820,52030,50650,50840,20869821,50840
2024-02-27,005930.KS,삼성전자,51000,52040,50770,51290,18130611,51290
2024-02-28,005930.KS,삼성전자,51940,53790,51060,52970,13174541,52970
2024-02-29,005930.KS,삼성전자,52500,53210,51700,52210,11179024,52210
2024-03-01,005930.KS,삼성전자,51630,52880,51230,52410,12240258,52410
2024-03-04,005930.KS,삼성전자,52340,53270,51710,53030,15446742,53030
2024-03-05,005930.KS,삼성전자,53030,54110,52460,53220,14423558,53220
2024-03-06,005930.KS,삼성전자,52850,52970,52640,52750,18953980,52750
2024-03-07,005930.KS,삼성전자,52510,53040,51580,52750,17345916,52750
2024-03-08,005930.KS,삼성전자,53030,53390,52180,52970,16746749,52970
2024-03-11,005930.KS,삼성전자,53090,54090,52840,53450,13967246,53450
2024-03-12,005930.KS,삼성전자,53560,54200,51780,52210,15846044,52210
2024-03-13,005930.KS,삼성전자,51800,52490,50860,51790,14602402,51790
2024-03-14,005930.KS,삼성전자,51800,53200,51250,52290,14767749,52290
2024-03-15,005930.KS,삼성전자,52250,52830,51760,52410,16545146,52410
2024-03-18,005930.KS,삼성전자,52240,52460,50850,51540,19245607,51540
2024-03-19,005930.KS,삼성전자,51490,52410,51000,52070,16077475,52070
2024-03-20,005930.KS,삼성전자,52320,54350,52240,53520,21060901,53520
2024-03-21,005930.KS,삼성전자,53590,55530,53400,54790,17955522,54790
2024-03-22,005930.KS,삼성전자,54920,55290,54130,54440,9195341,54440
2024-03-25,005930.KS,삼성전자,54820,55560,54600,55150,15352479,55150
2024-03-26,005930.KS,삼성전자,55350,55980,54050,54900,15033876,54900
2024-03-27,005930.KS,삼성전자,54830,56200,54670,55480,13990692,55480
2024-03-28,005930.KS,삼성전자,55600,56630,54900,55960,12415712,55960
2024-03-29,005930.KS,삼성전자,56230,56390,54760,55030,19778472,55030
2024-04-01,005930.KS,삼성전자,54990,56370,54680,55470,13955353,55470
2024-04-02,005930.KS,삼성전자,55420,57560,55250,57120,22318127,57120
2024-04-03,005930.KS,삼성전자,57430,58520,56490,58240,22507118,58240
2024-04-04,005930.KS,삼성전자,58280,59050,57830,58630,13421734,58630
2024-04-05,005930.KS,삼성전자,58590,59850,57690,59360,11963825,59360
2024-04-08,005930.KS,삼성전자,59310,60030,58980,59920,16067493,59920
2024-04-09,005930.KS,삼성전자,60340,60510,57850,58810,19650788,58810
2024-04-10,005930.KS,삼성전자,59310,60360,57100,57830,13707658,57830
2024-04-11,005930.KS,삼성전자,57950,58380,57710,58100,15755626,58100
2024-04-12,005930.KS,삼성전자,58270,58900,57290,58060,19318814,58060
2024-04-15,005930.KS,삼성전자,57970,59550,57250,58820,15108587,58820
2024-04-16,005930.KS,삼성전자,58220,59120,57270,58660,18860619,58660
2024-04-17,005930.KS,삼성전자,58210,59960,57820,59440,16072928,59440
2024-04-18,005930.KS,삼성전자,58960,60720,58060,60630,18171040,60630
2024-04-19,005930.KS,삼성전자,60610,60830,59120,59920,17683566,59920
2024-04-22,005930.KS,삼성전자,60210,60910,60120,60500,15384429,60500
2024-04-23,005930.KS,삼성전자,60970,61270,59440,60230,18316232,60230
2024-04-24,005930.KS,삼성전자,60230,60940,60100,60760,8233924,60760
2024-04-25,005930.KS,삼성전자,60060,62220,59640,61220,9212974,61220
2024-04-26,005930.KS,삼성전자,61510,61930,58820,59670,22338708,59670
2024-04-29,005930.KS,삼성전자,59670,60530,58960,60050,13014649,60050
2024-04-30,005930.KS,삼성전자,59950,61140,59110,60220,10563177,60220
2024-05-01,005930.KS,삼성전자,60660,61440,60310,60930,15323282,60930
2024-05-02,005930.KS,삼성전자,60850,61610,59280,60080,12396044,60080
2024-05-03,005930.KS,삼성전자,59850,61310,59730,60690,12575573,60690
2024-05-06,005930.KS,삼성전자,60710,61580,59990,60650,13475619,60650
2024-05-07,005930.KS,삼성전자,60100,61570,59960,61310,17901574,61310
2024-05-08,005930.KS,삼성전자,61300,62370,59430,59720,16105640,59720
2024-05-09,005930.KS,삼성전자,59360,60850,58610,60010,11370836,60010
2024-05-10,005930.KS,삼성전자,60330,61100,59050,59530,13719770,59530
2024-05-13,005930.KS,삼성전자,59950,61240,59010,60230,15628376,60230
2024-05-14,005930.KS,삼성전자,60620,61510,60330,60910,14916987,60910
2024-05-15,005930.KS,삼성전자,60610,61350,59780,61230,14603505,61230
2024-05-16,005930.KS,삼성전자,61000,62450,59940,61460,12008621,61460
2024-05-17,005930.KS,삼성전자,61620,61970,59030,59740,16334675,59740
2024-05-20,005930.KS,삼성전자,59680,60580,59470,60240,11640933,60240
2024-05-21,005930.KS,삼성전자,60220,61830,59400,61600,15986563,61600
2024-05-22,005930.KS,삼성전자,61760,62890,61480,62580,16942712,62580
2024-05-23,005930.KS,삼성전자,62530,63580,61620,63260,12896601,63260
2024-05-24,005930.KS,삼성전자,63480,65170,63180,64160,18067364,64160
2024-05-27,005930.KS,삼성전자,64500,64560,61990,63120,18757008,63120
